"filename", "language", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/ashnaguha/Desktop/Go Extra/animations.go", "Go", 1, 0, 0, 0, 2, 3
"/Users/ashnaguha/Desktop/Go Extra/codon_chart.go", "Go", 45, 0, 0, 0, 7, 52
"/Users/ashnaguha/Desktop/Go Extra/font.go", "Go", 37, 0, 0, 5, 7, 49
"/Users/ashnaguha/Desktop/Go Extra/geom.go", "Go", 39, 0, 0, 6, 7, 52
"/Users/ashnaguha/Desktop/Go Extra/go.mod", "Go Module File", 0, 0, 13, 0, 4, 17
"/Users/ashnaguha/Desktop/Go Extra/go.sum", "Go Checksum File", 0, 51, 0, 0, 1, 52
"/Users/ashnaguha/Desktop/Go Extra/gui.go", "Go", 117, 0, 0, 0, 25, 142
"/Users/ashnaguha/Desktop/Go Extra/main.go", "Go", 181, 0, 0, 3, 26, 210
"/Users/ashnaguha/Desktop/Go Extra/signal_reception.go", "Go", 10, 0, 0, 1, 2, 13
"/Users/ashnaguha/Desktop/Go Extra/state_machine.go", "Go", 29, 0, 0, 0, 9, 38
"Total", "-", 459, 51, 13, 15, 90, 628
